max waterstock Bracciano;;;;;;;;;;;
5,05 - 5,130 [10^9 m^3];;;;;;;;;;;
;;;;;;;;;;;
water levels Bracciano;;;;;;;;;;;
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
January;-43;-10;-68;-102;-180;-160;-115;-99;-100;-110;-122
February;-27;-11;-67;-115;-177;-144;-113;-85;-99;-113;-116
March;-1;3;-51;-120;-162;-146;-107;-78;-104;-106;-105
April;3;14;-48;-126;-148;-143;-111;-80;-100;-100;-100
May;3;7;-51;-130;-140;-136;-109;-74;-100;-92;-98
June;1;-5;-51;-140;-142;-127;-111;-85;-107;-82;-102
July;-2;-21;-55;-155;-153;-136;-118;-85;-117;-88;-110
August;-3;-42;-74;-171;-159;-145;-134;-96;-128;-100;-123
September;-12;-49;-92;-180;-166;-156;-142;-110;-127;-118;-130
October;-24;-61;-91;-189;-167;-154;-142;-126;-137;-126;-134
November;-33;-58;-96;-195;-161;-137;-139;-119;-141;-119;-135
December;-15;-64;-94;-194;-157;-119;-115;-103;-114;-122;N/A
;;;;;;;;;;;
seasonal evaporation;;;;;;;;;;;
;2007-2017;2015;2016;2017;;;;;;;
Spring;3-5 mm/day;~3.5 mm/day;~4 mm/day;~4.5 mm/day;;;;;;;
Summer;6-8 mm/day;~6.5 mm/day;~7 mm/day;~7.5 mm/day;;;;;;;
Autumn;2-4 mm/day;~3 mm/day;~3.5 mm/day;~4 mm/day;;;;;;;
Winter;1-2 mm/day;~1.5 mm/day;~2 mm/day;~2.5 mm/day;;;;;;;
;;;;;;;;;;;
volume Bracciano [10^3 m^3];;;;;;;;;;;
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
January;5,025,490;5,049,500;5,005,120;4,951,970;4,887,270;4,905,450;4,924,150;4,931,750;4,924,750;4,919,850;4,909,150
February;5,034,610;5,049,400;5,005,220;4,947,740;4,889,510;4,913,090;4,924,750;4,939,250;4,931,750;4,916,350;4,912,250
March;5,049,950;5,050,150;5,007,390;4,945,250;4,901,750;4,911,150;4,930,250;4,944,350;4,926,150;4,920,950;4,920,350
April;5,050,150;5,050,740;5,007,840;4,940,570;4,911,510;4,914,230;4,926,550;4,942,850;4,924,750;4,924,750;4,924,750
May;5,050,150;5,050,350;5,007,390;4,938,000;4,926,700;4,920,150;4,92785;4,950,350;4,924,750;4,930,350;4,926,650
June;5,050,050;5,049,750;5,007,390;4,926,700;4,924,150;4,927,050;4,926,550;4,939,250;4,919,850;4,935,150;4,923,350
July;5,049,850;5,046,590;5,004,850;4,914,700;4,914,350;4,920,150;4,921,150;4,939,250;4,911,050;4,931,750;4,919,850
August;5,049,650;5,031,370;4,996,050;4,898,570;4,906,650;4,914,150;4,907,350;4,927,350;4,898,250;4,924,750;4,908,550
September;5,048,430;5,024,250;4,981,230;4,887,270;4,895,450;4,907,350;4,897,950;4,919,850;4,899,650;4,911,150;4,898,250
October;5,043,610;5,012,610;4,981,530;4,876,170;4,894,150;4,908,650;4,897,950;4,907,050;4,888,150;4,907,050;4,894,050
November;5,035,510;5,014,010;4,976,010;4,865,150;4,896,700;4,912,750;4,899,250;4,912,050;4,883,250;4,912,050;4,892,950
December;5,044,760;5,007,050;4,976,470;4,865,430;4,902,150;4,921,050;4,924,150;4,920,850;4,920,350;4,909,150;N/A
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
fluc_tourists ;2021;2022;2023;;;;;;;;
;;;;;;;;;;;
Winter; 15.58%;14.07%;17.88%;;;;;;;;
Spring;11.49%;25.17%; 25.31%;;;;;;;;
Summer;35.65%;33.37%; 31.18%;;;;;;;;
Autumn;37.28%;31.18%;25.63%;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
RainFall_Bracciano (mm);;;;;;;;;;;
in mm;AVG_LAST20YEARS;09/2016-08/2017;;;;;;;;;
January;104.6;62.6;-2017;;;;;;;;
February;101.7;48.9;;;;;;;;;
March;91.9;33.2;;;;;;;;;
April;72.4;38.1;;;;;;;;;
May;63.6;12.7;;;;;;;;;
June;33.2;2.9;;;;;;;;;
July ;33.2;2.0;;;;;;;;;
August;31.3;0.0;;;;;;;;;
September;78.2;212.2;-2016;;;;;;;;
October ;131.0;144.7;;;;;;;;;
November;151.6;132.0;;;;;;;;;
December;135.9;19.6;;;;;;;;;
;;;;;;;;;;;
Year;;;;;;;;;;;
